Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;"Страна производитель";"Заводы изготовители";Упаковка;Состояние;Материал;"Тип слитка";Проба
Золото;"Слиток золото 10 грамм Argor-Heraeus 2024";0.00;slitok-zoloto-10-gramm-argor-heraeus-2024;1;1;"Argor Heraus";Продаем;;100026;0;"Слиток золото 10 грамм Argor-Heraeus 2024";"Слиток золото 10 грамм Argor-Heraeus (новый)";"Слиток золото 10 грамм Argor-Heraeus (новый)";;"<p>Слиток золото 10 грамм Argor-Heraeus (новый)</p><p>Эксклюзивный слиток ГОД ДАКОНА 2024 хороший подарок, или пополнение коллекции.</p><p>Этих слитков Argor-Heraeus создал только 18888 шт. И вы можете купить их у нас в кассах АО &laquo;РВС БАНК&raquo;</p><p>Слиток золота &ndash; это ценный подарок или надежная инвестиция в будущее.</p><p></p><p>Argor Heraeus &ndash; крупная швейцарская фирма-поставщик дорогостоящих металлов. Фирма занимается аффинажем золота, серебра, платины и палладия. Аффинаж производится как электролитическим, так и химическим путем. Характерно, что платину 999,5 пробы Argor Heraeus производит из материалов.</p><p>Компания была основана как Argor SA в 1951 году в городе Кьяссо.<br />В 1960 году швейцарский банк UBS получил ее в управление, купил 80% акций холдинга, а затем в 1973 году приобрел и полный пакет.</p><p></p><p>В 1986 году UBS и Heraeus Holding GmbH создали как совместное предприятие Argor-Heraeus SA.<br />В 1999 году, когда банк UBS покинул группу, Heraeus и управляющая компания Argor-Heraeus management &ndash; выкупили его долю и стали полностью владеть компанией. Однако в том же году они продали часть Commerzbank International SA, ставшего ее акционером, наряду с вышеупомянутыми компаниями.</p>";"3._yearofthedragon_2024_fronte_10g_wzm5ku.jpg, 3._yearofthedragon_2024_retro_10g_fqpxoq.jpg, 600_600_bar-gold-ah-lunar-2024-dragon-10g-obverse-bullionstar-b.png, 600_600_bar-gold-ah-lunar-2024-dragon-10g-reverse-bullionstar-b.png, argor_lunar_dragon_gold_bar__front_cusclb_resizev3.png_3.jpg";"10 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;999.9
"Золото/Новые слитки (идеальное состояние)";"Слиток золото 5 грамм Argor-Heraeus 2024";0.00;slitok-zoloto-5-gramm-argor-heraeus-2024;1;1;"Argor Heraus";Продаем;;100025;0;"Слиток золото 5 грамм Argor-Heraeus 2024";"Слиток золото 5 тройская унция грамм argor-heraeus (новый), Argor Heraus, Новые слитки Argor Heraus";"Слиток Золото 5 тройская унция грамма Argor-Heraeus (НОВЫЙ). Подробная информация о товаре/услуге и поставщике. Цена и условия поставки";;"<p><strong>Эксклюзивный слиток ГОД ДРАКОНА 2024</strong> хороший подарок, или пополнение коллекции.</p><p>Этих слитков Argor-Heraeus создал только 18888 шт. И вы можете купить их у нас в кассах АО &laquo;РВС БАНК&raquo;</p><p>Слиток золота &ndash; это ценный подарок или надежная инвестиция в будущее. Слитки весом в 5 граммов очень любят покупать во всем мире, чаще всего их покупают на подарки своим близким людям.</p><p></p><p>Также если смотреть на слитки <strong>весом в 5 грамм</strong>, их спокойно можно отнести к хорошим подаркам. Покупая слитки на подарок вы дарите очень ценную вещь, которую человек будет беречь, и в случае необходимости сможет быстро продать. Это не цветы, которые завянут через неделю, или сладости, которые съедят и забудут, даже не деньги, которые смешаются с другими деньгами в кошельке, это подарок, который человек будет хранить, и знать это подарили именно Вы!</p><p></p><p>Слитки Argor Heraeus SA мы привозим без посредников, потому что работаем с ним на прямую, поэтому в РВС БАНК самая точная цена. Слитки этого производителя имеют большой спрос в США, странах ЕС, Японии, Китае и вообще во всем мире. Поэтому, если у Вас слиток этого производителя вы сможете продать его в любой стране мира!!!</p>";"2._yearofthedragon_2024_fronte_5g_a5ej3s.jpg, 2._yearofthedragon_2024_retro_5g_uyby4w.jpg, 600_600_bar-gold-ah-lunar-2024-dragon-5g-obverse-bullionstar-b.png, 600_600_bar-gold-ah-lunar-2024-dragon-5g-reverse-bullionstar-b.png, argor_lunar_dragon_gold_bar__front_cusclb_resizev3.png_2.jpg";"5 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;999.9
"Золото/Новые слитки (идеальное состояние)";"Слиток золото 1 грамм Argor-Heraeus 2024";0.00;slitok-zoloto-1-gramm-argor-heraeus-2024;1;1;"Argor Heraus";Продаем;;100024;0;"Слиток золото 1 грамм Argor-Heraeus 2024";"Слиток золото 1 грамм argor-heraeus (новый), Argor Heraus, Новые слитки Argor Heraus";"Слиток Золото 1 грамм Argor-Heraeus (НОВЫЙ)";;"<p>Эксклюзивный слиток ГОД ДРАКОНА 2024 хороший подарок, или пополнение коллекции.</p><p>Этих слитков Argor-Heraeus создал только 28888 шт. И вы можете купить их у нас в кассах АО &laquo;РВС БАНК&raquo;</p><p>Слиток золота &ndash; это ценный подарок или надежная инвестиция в будущее.</p><p></p><p>Слитки весом в 5 граммов очень любят покупать во всем мире, чаще всего их покупают на подарки своим близким людям.</p><p>Также если смотреть на слитки весом в 5 грамм, их спокойно можно отнести к хорошим подаркам.</p><p>Покупая слитки на подарок вы дарите очень ценную вещь, которую человек будет беречь, и в случае необходимости сможет быстро продать. Это не цветы, которые завянут через неделю, или сладости, которые съедят и забудут, даже не деньги, которые смешаются с другими деньгами в кошельке, это подарок, который человек будет хранить, и знать это подарили именно Вы!</p><p><span><br /></span></p>";"1._yearofthedragon_2024_fronte_1g_bbl1lr.jpg, 1._yearofthedragon_2024_retro_1g_h5oc11.jpg, 600_600_bar-gold-ah-lunar-2024-dragon-1g-obverse-bullionstar-b.png, 600_600_bar-gold-ah-lunar-2024-dragon-1g-reverse-bullionstar-b.png, argor_lunar_dragon_gold_bar__front_cusclb_resizev3.png_1.jpg";"1 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;999.9
"Золото/Новые слитки (идеальное состояние)";"Слиток золота 100 грамм Argor-Heraeus (новый)";260000.00;slitok-zolota-100-gramm-argor-heraeus-novyj;1;1;"Argor Heraus";Продаем;;1109;;"Слиток золота 100 грамм Argor-Heraeus (новый)";"Слиток золота 100 грамм Argor-Heraeus (новый)";"Слиток золота 100 г Argor-Heraeus (НОВЫЙ). Подробная информация о товаре/услуге и поставщике. Цена и условия поставки";;"<p><strong>Золотой слиток Argor Heraeus 100 г 999,9 пробы.</strong></p><p></p><p>Каждый слиток содержит 99,99% инвестиционного золота. На передней части каждого слитка расположен логотип Argor Heraeus с указанием веса, пробы и серийного номера. Серийный номер золотого слитка расположен в нижней части сертификата.</p><p></p><p>Argor Heraeus является одним из известнейших швейцарских заводов по производству драгоценных металлов. Они производят золотые, серебряные, платиновые и палладиевые слитки для инвесторов в драгоценные металлы по всему миру.</p><p>Для инвесторов, желающих приобрести золотые слитки, 100-граммовый слиток золота Argor Heraeus является очень популярным вариантом благодаря высокому качеству.</p><p></p><p>Золотые слитки Argor Heraeus доступны в размерах от 1 г до 1 килограмма.</p><p></p><p>Слитки весом в<strong> 100 грамм очень любят покупать по всему миру,</strong> чаще всего их покупают как инвестицию.</p><p>Также если смотреть на слитки весом в 100 грамм, это уже инвестиция в золото.</p><p></p><p>Слитки по нашему мнению делятся на несколько типов в зависимости от их веса:</p><p><strong>1, 2, 2.5, 5, 10 граммов</strong> это чаще всего покупают на подарки</p><p><strong> 20, 31.1(унция), 50 граммов</strong> это инвестиционные слитки средних размеров для людей, которые хотят вложить от 2т долларов до 50т долл.</p><p><strong>100, 250, 500, 1000 это выбор крупных инвесторов</strong> вкладывающих в золото большие суммы. Слитки Argor Heraeus SA мы привозим без посредников, потому что работаем с ним на прямую, поэтому в РВС БАНК самая точная цена. Слитки этого производителя имеют большой спрос в США, странах ЕС, Японии, Китае и вообще во всем мире. Поэтому, если у Вас слиток этого производителя вы сможете продать его в любой стране мира!!!</p>";"ah-100-1-600-800.jpg, ah-100-2-600-800.jpg, ezgif-3-d1bf2bca3b.jpg, ezgif-3-d41eff6dd9.jpg, ezgif-3-8829ceefb8.jpg, ezgif-3-4f11a54667.jpg, ezgif-3-d72424df1f.jpg, ezgif-3-44a560f5a6.jpg";"100 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
"Золото/Новые слитки (идеальное состояние)";"Слиток золота 100 грамм Argor-Heraeus (новый)";237000.00;slitok-zolota-100-gramm-argor-heraeus-novyj;1;1;"Argor Heraus";Покупаем;;801109;;"Слиток золота 100 грамм Argor-Heraeus (новый)";"Слиток золота 100 грамм Argor-Heraeus (новый)";"Слиток золота 100 г Argor-Heraeus (НОВЫЙ). Подробная информация о товаре/услуге и поставщике. Цена и условия поставки";;"<p><strong>Золотой слиток Argor Heraeus 100 г 999,9 пробы.</strong></p><p></p><p>Каждый слиток содержит 99,99% инвестиционного золота. На передней части каждого слитка расположен логотип Argor Heraeus с указанием веса, пробы и серийного номера. Серийный номер золотого слитка расположен в нижней части сертификата.</p><p></p><p>Argor Heraeus является одним из известнейших швейцарских заводов по производству драгоценных металлов. Они производят золотые, серебряные, платиновые и палладиевые слитки для инвесторов в драгоценные металлы по всему миру.</p><p>Для инвесторов, желающих приобрести золотые слитки, 100-граммовый слиток золота Argor Heraeus является очень популярным вариантом благодаря высокому качеству.</p><p></p><p>Золотые слитки Argor Heraeus доступны в размерах от 1 г до 1 килограмма.</p><p></p><p>Слитки весом в<strong> 100 грамм очень любят покупать по всему миру,</strong> чаще всего их покупают как инвестицию.</p><p>Также если смотреть на слитки весом в 100 грамм, это уже инвестиция в золото.</p><p></p><p>Слитки по нашему мнению делятся на несколько типов в зависимости от их веса:</p><p><strong>1, 2, 2.5, 5, 10 граммов</strong> это чаще всего покупают на подарки</p><p><strong> 20, 31.1(унция), 50 граммов</strong> это инвестиционные слитки средних размеров для людей, которые хотят вложить от 2т долларов до 50т долл.</p><p><strong>100, 250, 500, 1000 это выбор крупных инвесторов</strong> вкладывающих в золото большие суммы. Слитки Argor Heraeus SA мы привозим без посредников, потому что работаем с ним на прямую, поэтому в РВС БАНК самая точная цена. Слитки этого производителя имеют большой спрос в США, странах ЕС, Японии, Китае и вообще во всем мире. Поэтому, если у Вас слиток этого производителя вы сможете продать его в любой стране мира!!!</p>";"ah-100-1-600-800.jpg, ah-100-2-600-800.jpg, ezgif-3-d1bf2bca3b.jpg, ezgif-3-d41eff6dd9.jpg, ezgif-3-8829ceefb8.jpg, ezgif-3-4f11a54667.jpg, ezgif-3-d72424df1f.jpg, ezgif-3-44a560f5a6.jpg";"100 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
"Золото/Новые слитки (идеальное состояние)";"Слиток золота 50 грамм Argor-Heraeus (новый)";131000.00;zlitok-zolota-50-gram-argor-heraeus-novij;1;1;"Argor Heraus";Продаем;;1108;;"Слиток золота 50 грамм Argor-Heraeus (новый)";"Слиток золота 50 грамм Argor-Heraeus (новый)";"Злиток золота 50 грам Argor-Heraeus (НОВИЙ).  Злитки вагою в 50 грам  дуже любують купувати в усьому світі, найчастіше їх купують як інвестицію.";;"<p><strong>Золотой слиток Argor Heraeus 50 граммов 999,9 пробы</strong></p><p><strong><br /></strong></p><p>Все 50-граммовые золотые слитки Argor Heraeus продаются в запечатанных сертификатах. В верхней части каждого слитка находится логотип Argor Heraeus, за которым следует вес, проба и серийный номер слитка.</p><p>На сертификате также указан серийный номер. Все золотые слитки Argor Heraeus содержат 99,99% чистых золотых слитков инвестиционного класса.</p><p></p><p>Слитки могут иметь маркировку Австрийского монетного двора или Швейцарского банка.</p><p>Серия золотых слитков Argor Heraeus доступна для инвесторов в золотые слитки всех размеров от 1 грамма до 1 килограмма золотых слитков. Argor Heraeus также производит слитки из серебра, платины и палладия аналогичного размера для инвесторов в драгоценные металлы.</p><p>Помимо собственной линейки изделий из драгоценных металлов, Argor Heraeus также производит золотые слитки для UBS, Raiffaisen Bank и Монетного двора Австрии.</p><p></p><p><span style=""font-size: 16px;""><br /></span></p><p>Слитки весом в 50 граммов очень любят покупать во всем мире, чаще всего их покупают как инвестицию.</p><p>Также если смотреть на слитки весом в 50 грамм, это уже инвестиция в золото.</p><p></p><p>Слитки по нашему мнению делятся на несколько типов в зависимости от их веса:</p><p>1, 2, 2.5, 5, 10 граммов это чаще всего покупают на подарки 20, 31.1(унция), 50 граммов это инвестиционные слитки средних размеров для людей, которые хотят вложить от 2т долларов до 50т долл. 100, 250, 500, 10 крупных инвесторов вкладывающих в золото большие суммы.</p><p></p><p>Слитки Argor Heraeus SA мы привозим без посредников, потому что работаем с ним на прямую, поэтому в РВС БАНК самая точная цена. Слитки этого производителя имеют большой спрос в США, странах ЕС, Японии, Китае и вообще во всем мире. Поэтому, если у Вас слиток этого производителя <strong>вы сможете продать его в любой стране мира!!!</strong></p><p><span><br /></span></p>";"ah-50-1-600-800.jpg, ah-50-2-600-800.jpg, ezgif-3-1b871efdbf.jpg, ezgif-3-2ce159f905.jpg";"50 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
"Золото/Новые слитки (идеальное состояние)";"Слиток золота 50 грамм Argor-Heraeus (новый)";118600.00;zlitok-zolota-50-gram-argor-heraeus-novij;1;1;"Argor Heraus";Покупаем;;801108;;"Слиток золота 50 грамм Argor-Heraeus (новый)";"Слиток золота 50 грамм Argor-Heraeus (новый)";"Злиток золота 50 грам Argor-Heraeus (НОВИЙ).  Злитки вагою в 50 грам  дуже любують купувати в усьому світі, найчастіше їх купують як інвестицію.";;"<p><strong>Золотой слиток Argor Heraeus 50 граммов 999,9 пробы</strong></p><p><strong><br /></strong></p><p>Все 50-граммовые золотые слитки Argor Heraeus продаются в запечатанных сертификатах. В верхней части каждого слитка находится логотип Argor Heraeus, за которым следует вес, проба и серийный номер слитка.</p><p>На сертификате также указан серийный номер. Все золотые слитки Argor Heraeus содержат 99,99% чистых золотых слитков инвестиционного класса.</p><p></p><p>Слитки могут иметь маркировку Австрийского монетного двора или Швейцарского банка.</p><p>Серия золотых слитков Argor Heraeus доступна для инвесторов в золотые слитки всех размеров от 1 грамма до 1 килограмма золотых слитков. Argor Heraeus также производит слитки из серебра, платины и палладия аналогичного размера для инвесторов в драгоценные металлы.</p><p>Помимо собственной линейки изделий из драгоценных металлов, Argor Heraeus также производит золотые слитки для UBS, Raiffaisen Bank и Монетного двора Австрии.</p><p></p><p><span style=""font-size: 16px;""><br /></span></p><p>Слитки весом в 50 граммов очень любят покупать во всем мире, чаще всего их покупают как инвестицию.</p><p>Также если смотреть на слитки весом в 50 грамм, это уже инвестиция в золото.</p><p></p><p>Слитки по нашему мнению делятся на несколько типов в зависимости от их веса:</p><p>1, 2, 2.5, 5, 10 граммов это чаще всего покупают на подарки 20, 31.1(унция), 50 граммов это инвестиционные слитки средних размеров для людей, которые хотят вложить от 2т долларов до 50т долл. 100, 250, 500, 10 крупных инвесторов вкладывающих в золото большие суммы.</p><p></p><p>Слитки Argor Heraeus SA мы привозим без посредников, потому что работаем с ним на прямую, поэтому в РВС БАНК самая точная цена. Слитки этого производителя имеют большой спрос в США, странах ЕС, Японии, Китае и вообще во всем мире. Поэтому, если у Вас слиток этого производителя <strong>вы сможете продать его в любой стране мира!!!</strong></p><p><span><br /></span></p>";"ah-50-1-600-800.jpg, ah-50-2-600-800.jpg, ezgif-3-1b871efdbf.jpg, ezgif-3-2ce159f905.jpg";"50 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
"Золото/Новые слитки (идеальное состояние)";"Слиток золото 1унция (31,1г) Argor (новый)";82104.00;slitok-zoloto-1untsiya-311g-argor-novyj;1;0;"Argor Heraus";Продаем;;1107;;"Слиток золото 1унция (31,1г) Argor (новый)";"Слиток золото 1унция (31,1г) Argor (новый)";"Слитки весом в 31,1 грамм (1 унция) очень любят покупать по всему миру, чаще всего их покупают, чтобы было удобно оценивать на сколько выросла цена своих инвестиций потому, что все мировые биржи указывают цены именно одна унция в долларах США (1 oz/ USD).";;"<p><strong>Слитки весом в 31,1 грамм (1 унция)</strong> очень любят покупать по всему миру, чаще всего их покупают, чтобы было удобно оценивать на сколько выросла цена своих инвестиций потому, что все мировые биржи указывают цены именно одна унция в долларах США (1 oz/ USD).</p><p></p><p>Золотой слиток Argor Heraeus на 1 унцию 999,9 пробы</p><p>Argor Heraeus &mdash; один из самых известных заводов по переработке драгоценных металлов в Швейцарии. Аффинажный завод производит продукты из драгоценных металлов для розничного инвестиционного рынка драгоценных металлов, включая слитки из золота, серебра, платины и палладия.<br /> <br />Все слитки, продаваемые Argor Heraeus, содержат золотые слитки инвестиционного качества чистотой 99,99%. Эти слитки очень популярны среди инвесторов в золото. Большинство людей, желающих купить золотые слитки, покупают золотые слитки весом 1 унция или 100 грамм.<br /> <br />Серия золотых слитков Argor Heraeus доступна в размерах от 1 грамма до 1 килограмма. Серия Kinebar доступна до 100 граммов.<br /> <br /><br /></p>";"ah-31-1-600-800.jpg, ah-31-2-600-800.jpg, ah-31-3-600-800.jpg, ah-31-4-600-800.jpg";"31.1 грамм (1тр. унция)";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
"Золото/Новые слитки (идеальное состояние)";"Слиток золото 1унция (31,1г) Argor (новый)";73831.00;slitok-zoloto-1untsiya-311g-argor-novyj;1;0;"Argor Heraus";Покупаем;;801107;;"Слиток золото 1унция (31,1г) Argor (новый)";"Слиток золото 1унция (31,1г) Argor (новый)";"Слитки весом в 31,1 грамм (1 унция) очень любят покупать по всему миру, чаще всего их покупают, чтобы было удобно оценивать на сколько выросла цена своих инвестиций потому, что все мировые биржи указывают цены именно одна унция в долларах США (1 oz/ USD).";;"<p><strong>Слитки весом в 31,1 грамм (1 унция)</strong> очень любят покупать по всему миру, чаще всего их покупают, чтобы было удобно оценивать на сколько выросла цена своих инвестиций потому, что все мировые биржи указывают цены именно одна унция в долларах США (1 oz/ USD).</p><p></p><p>Золотой слиток Argor Heraeus на 1 унцию 999,9 пробы</p><p>Argor Heraeus &mdash; один из самых известных заводов по переработке драгоценных металлов в Швейцарии. Аффинажный завод производит продукты из драгоценных металлов для розничного инвестиционного рынка драгоценных металлов, включая слитки из золота, серебра, платины и палладия.<br /> <br />Все слитки, продаваемые Argor Heraeus, содержат золотые слитки инвестиционного качества чистотой 99,99%. Эти слитки очень популярны среди инвесторов в золото. Большинство людей, желающих купить золотые слитки, покупают золотые слитки весом 1 унция или 100 грамм.<br /> <br />Серия золотых слитков Argor Heraeus доступна в размерах от 1 грамма до 1 килограмма. Серия Kinebar доступна до 100 граммов.<br /> <br /><br /></p>";"ah-31-1-600-800.jpg, ah-31-2-600-800.jpg, ah-31-3-600-800.jpg, ah-31-4-600-800.jpg";"31.1 грамм (1тр. унция)";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
"Золото/Новые слитки (идеальное состояние)";"Слиток золота 20 грамм Argor-Heraeus (новый)";53200.00;slitok-zolota-20-gramm-argor-heraeus-novyj;1;0;"Argor Heraus";Продаем;;1106;;"Слиток золота 20 грамм Argor-Heraeus (новый)";"Слиток золота 20 грамм Argor-Heraeus (новый)";"20-граммовый золотой слиток Argor Heraeus 999,9 пробы

Все золотые слитки Argor Heraeus содержат 99,99% золотых слитков инвестиционного качества.";;"<p><strong>20-граммовый золотой слиток Argor Heraeus 999,9 пробы</strong></p><p>Все золотые слитки Argor Heraeus содержат 99,99% золотых слитков инвестиционного качества.</p><p>Каждый слиток продается отдельно, запечатанный в собственную сертификатную карту. В верхней части слитка находится логотип Argor Heraeus, за которым следует вес, проба и серийный номер слитка.</p><p>Серийный номер слитка также указан на сертификате.</p><p>Золотые слитки Argor Heraeus доступны для инвесторов в весе от 1 грамма до 1 килограмма.</p><p>Слитки большего размера, в том числе золотые слитки весом 1 кг, представляют собой литые слитки и не продаются в сертикардах из-за их веса. Тем не менее, они приходят с сертификатом.</p><p></p><p>Argor Heraeus производит слитки для инвесторов в драгоценные металлы из золота, серебра, платины и палладия.</p><p>Слитки могут иметь маркировку Heraeus, Австрийского монетного двора или Kantonal Bank.</p>";"ah-20-1-600-800.jpg, ah-20-2-600-800.jpg, ah-20-3.jpg, ezgif-3-971a00a2ea.jpg, ezgif-3-7f054a3e01.jpg";"20 грамм";Швейцария;Argor-Heraeus;"В упаковке";Новый;Золото;Штамп;
