Артикул;Цена
1001;9320
1002;18640
1003;21400
1004;42000
1005;81400
1006;156600
1007;241025
1008;384000
1009;764000
1101;9750
1102;19500
1104;43950
1105;85100
1106;163800
1107;252221
1108;401500
1109;799000
1205;74100
1206;147800
1207;229518
1208;369000
1209;736000
1210;736000
1211;1840000
1212;3680000
1213;7360000
2000;24800
2001;99400
2002;189900
2005;35775
2006;12950
2008;8320
2009;4670
2012;18600
2013;10750
2014;71550
2015;143100
2016;0
3000;0
4001;0
4002;0
4003;0
4004;0
4005;0
4006;0
4007;0
4008;0
100001;241025
100004;26630
100006;8060
100024;10150
100025;0
100026;0
100027;0
801001;7020
801002;13840
801003;17250
801004;34300
801005;68400
801006;136600
801007;212289
801008;341200
801009;682000
801101;7020
801102;13840
801104;34300
801105;68400
801106;136600
801107;212289
801108;341200
801109;682000
801205;66800
801206;133600
801207;207748
801208;334000
801209;668000
801210;668000
801211;1670000
801212;3340000
801213;6680000
802005;0
802012;0
802013;0
802014;0
802015;0
8100001;207750
8100004;20710
8100006;0
